title,address,date,description,price,phone,link
3 bedroom terraced house for sale,"The Paddock, Busby, Busby",26/06/2020,"Ross Sales & Lettings are delighted to offer to the market this simply gorgeous mid terrace villa that is set within a highly sought after residential pocket of the village of Busby. This beautiful, bright and spacious three bedroom terraced home presented in truly walk in condition. ","£179,995",0141 392 0156,https://www.rightmove.co.uk//property-for-sale/property-77487988.html
2 bedroom flat for sale,"18 Haughview Terrace, Glasgow, G5",26/06/2020,"A rarely available, second floor flat conveniently located for a host of amenities and transport links. This fabulous apartment comprises a welcoming reception hall, spacious open plan living space including the lounge/kitchen and dining area. The flat also consists of two double bedrooms, mast...","£150,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-89667296.html
1 bedroom apartment for sale,"9 Taransay Street, Glasgow, G51",26/06/2020,"This is a very well presented and spacious one bedroom second floor apartment situated in an attractive sandstone tenement building. Ideally situated close to a range of local amenities, transport and road links and featuring a spacious bay window lounge, double bedroom, modern fitted kitchen and...","£50,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-94045532.html
2 bedroom flat for sale,"Highburgh Road, Dowanhill, Glasgow, G12",26/06/2020,The property comprises a superb and generous two bedroom ground floor flat contained within a red sandstone tenement building occupying a popular and central West End location. The accommodation from secure entrance enters into a welcoming and spacious reception hallway with varnished ...,"£210,000",0141 392 0102,https://www.rightmove.co.uk//property-for-sale/property-71479101.html
5 bedroom detached house for sale,"Birdston Road,
Milton Of Campsie,
Glasgow,
G66 8BU",03/04/2020,"Remote reservations are now available. Secure your home for just ?99. THIS HOME IS OUR SHOWHOME. Final 5 bedroom home at Fin Glen, available Ready for You with stylish wallpaper, flooring, window dressings and more included.","£479,000",0141 392 0438,https://www.rightmove.co.uk//property-for-sale/property-91097288.html
3 bedroom flat for sale,"St. Vincent Crescent, Finnieston, Glasgow, G3",26/06/2020,"Set within charming B listed crescent this garden level main door flat offers exceptional living space. The principal accommodation is set within an attractive blonde sandstone building and comprises main door entrance, reception hallway, fantastic large lounge, fully fitted breakfasting kitchen...","£295,000",0141 392 0102,https://www.rightmove.co.uk//property-for-sale/property-71479104.html
3 bedroom semi-detached house for sale,"Lochend Avenue, Gartcosh, Glasgow, North Lanarkshire, G69",26/06/2020,***By Appointment Only*** This modern semi-detached villa is presented to the market in excellent order throughout. The property provides a modern layout ideal for family life. The front door opens into an entrance hallway with stairs off to the upper level. There is a handy...,"£163,000",0141 392 0075,https://www.rightmove.co.uk//property-for-sale/property-81348136.html
3 bedroom detached bungalow for sale,"Ashlea Drive , Giffnock , Glasgow, G46 6BX",26/06/2020,"Occupying a fantastic position within this highly desirable pocket of Giffnock, this impressive detached bungalow offers flexible and well laid out accommodation over two main levels with a modern specification and contemporary décor throughout offering a walk in proposition for any potential buy...","£325,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71478888.html
5 bedroom detached house for sale,"Garrick Avenue, Mearnskirk, Newton Mearns, Glasgow",26/06/2020,"This Stewart Milne detached villa forms part of Garrick Close which is set within the highly sought after Mearnskirk development within Newton Mearns. The development provides a range of luxury detached homes, offering a tremendous amount of space within the plots and between each house. ","£550,000",0141 392 0432,https://www.rightmove.co.uk//property-for-sale/property-94044179.html
3 bedroom terraced house for sale,"Murdoch Road, Murray, EAST KILBRIDE",26/06/2020,* Home Report Available via the Link On This Website * Bright & Spacious Three Bedroom Terrace Family Home In Great Location * Spacious Lounge With Space For Dining & Fitted Kitchen With Utility Area * Three Well Proportioned Bedrooms & Large Fitted Bathroom * (cont.),"£95,000",01352 385051,https://www.rightmove.co.uk//property-for-sale/property-94044527.html
2 bedroom apartment for sale,"Underwood Street, Shawlands, Glasgow",26/06/2020,"An exceptionally modern and stylish second floor, two-bedroom apartment nestled in the heart of Shawlands. It has been totally refurbished creating a stylish space in true walk-in condition. The apartment is entered via a secure door entry system into a well-kept communal close with o...","£175,000",0141 392 0010,https://www.rightmove.co.uk//property-for-sale/property-71478132.html
2 bedroom flat for sale,"Woodlands Drive, Flat 3/1, Woodlands, Glasgow, G4 9EH",26/06/2020,"HD Video Available. This stylish, two bedroom, top floor apartment offers bright, airy accommodation and boasts a superb, central position in Woodlands, surrounded by a wealth of amenities and transport links. The home has been well styled to a high standard with modern fixtures and f...","£200,000",0141 392 0187,https://www.rightmove.co.uk//property-for-sale/property-71477781.html
2 bedroom end of terrace house for sale,"Station Road, Millerston, Glasgow, G33 6NE",26/06/2020,"An attractive, two bedroomed, end terrace villa, enjoying a prominent situation close to local amenities and within easy reach of those of Stepps. The attractive stone façade belies the gen...","£120,000",0141 392 0900,https://www.rightmove.co.uk//property-for-sale/property-94042604.html
4 bedroom detached house for sale,"Crawford Drive, Old Drumchapel",26/06/2020,"Imaginatively extended to create a versatile family home over three principal levels, this fantastic bungalow really has to be seen to be appreciated. The property, erected pre-war and set upon a sizeable corner plot bordered by mature evergreen trees, has a been significantly improved and augmen...","£339,000",0141 392 0116,https://www.rightmove.co.uk//property-for-sale/property-71477286.html
4 bedroom detached house for sale,"Ellismuir Park - Off Muirside Road, Glasgow, G71 7FN",26/06/2020,"Stunning DETACHED home with STUDY, OPEN-PLAN kitchen/dining, FRENCH DOORS to the GARDEN, laundry room. Master bedroom EN-SUITE with WALK-IN WARDROBE.","£272,000",0141 392 0035,https://www.rightmove.co.uk//property-for-sale/property-94041266.html
5 bedroom detached villa for sale,"4 Villafield Avenue, Bishopbriggs, G64 3JT",26/06/2020,This detached villa enjoys a fabulous location in a popular development close to the centre of Bishopbriggs and within a short walk of Meadowburn Primary School. The property has been thoughtfully extended and is presented to the market in wonderful order throughout. EPC BAND - C,"£375,000",0141 392 0213,https://www.rightmove.co.uk//property-for-sale/property-94041179.html
3 bedroom flat for sale,"St. Blanes Drive, Glasgow",26/06/2020,"This three bedroom ground floor quarter cottage flat is presented to the market in excellent condition and is situated in Kingspark in the South-side of Glasgow. Features include two double bedrooms, modern bathroom and kitchen, third bedroom/dining room has french doors out to a large back garden.","£90,000",0161 468 1430,https://www.rightmove.co.uk//property-for-sale/property-81334186.html
3 bedroom house for sale,"Pinkston Road,
Glasgow,
G4",26/06/2020,"AMAZING INCENTIVES WHEN RESERVING RESERVE FOR FREE INCENTIVES: Flooring throughout, Turfed rear garden & Gloss kitchen upgrade. Plot 182 is a stylish and practical 3 bedroom mid-terraced home perfect for growing families. With an open plan, contemporary layout and hand...","£234,000",01728 571041,https://www.rightmove.co.uk//property-for-sale/property-94029278.html
3 bedroom house for sale,"Hallhill Road,
Glasgow,
G33",26/06/2020,"RESERVE NOW FOR AMAZING INCENTIVES Plot 32 is available with £1,000 LBTT, £1,000 towards legal fees, gloss kitchen upgrade, flooring throughout & turf to rear. This stylish 3 bedroom semi-detached family home is set over 3 floors. With creative storage solut...","£204,995",01728 571040,https://www.rightmove.co.uk//property-for-sale/property-94029290.html
2 bedroom apartment for sale,"95 London Avenue, Glasgow",25/06/2020,"The epitome of contemporary chic, this two bedroom apartment with private balcony and open views just oozes stylish living. Perfectly positioned on the third floor on one of only two blocks forming part of the multi award winning and eco-friendly Athlete's Village.","£155,000",0141 392 0026,https://www.rightmove.co.uk//property-for-sale/property-81325525.html
2 bedroom apartment for sale,"Northpark Street, Glasgow",25/06/2020,"MQ Estate Agents are delighted to present to the market this preferred top floor, traditional tenement flat in Maryhill. The property comprises of lounge with bay window, two double bedrooms bathroom, kitchen and large hallway, The property would benefit from some a slight internal modernisatio...","£99,995",0141 392 0198,https://www.rightmove.co.uk//property-for-sale/property-81322366.html
2 bedroom apartment for sale,"Cleveden Drive, Kelvinside, Glasgow",25/06/2020,This stunning bright two-bedroom apartment forms part of a grand end terrace villa and is the west end pavilion of Cleveden Crescent built between 1880 and 1900 and is located in the highly sought-after Kelvinside area. Cleveden Drive is situated in a quiet residential pocket within the West End ...,"£259,000",0141 392 0201,https://www.rightmove.co.uk//property-for-sale/property-81322228.html
2 bedroom apartment for sale,"Grosvenor Crescent, Dowanhill, Glasgow",25/06/2020,"With a direct outlook to front onto the beautiful landmark Hillhead-Kelvinside Parish Church, an utterly delightful two-bedroom, first floor drawing room conversion, forming part of a traditional ‘B’ listed blonde sandstone townhouse built circa 1880. The property has a number o...","£265,000",0141 392 0201,https://www.rightmove.co.uk//property-for-sale/property-81321994.html
1 bedroom flat for sale,"Killin Street, Sandyhills, G32 9BB",25/06/2020,A wellpresented first floor flat which is located within a refurbished building and ideally situated for a host of local amenities and transport links.,"£59,995",0141 392 0848,https://www.rightmove.co.uk//property-for-sale/property-94017800.html
1 bedroom flat for sale,"William Wilson Court, Kilsyth, G65",25/06/2020,"Seldom available one bed first floor flat. A fantastic opportunity to acquire this modern flat, centrally located within Kilsyth. Well appointed one bed flat with newly fitted kitchen and bathroom. Would suit a first-time buyer, someone looking to downsize or a buy to let investor.  ","£89,995",01236 355042,https://www.rightmove.co.uk//property-for-sale/property-81321541.html
1 bedroom apartment for sale,"Airlie Street, Hyndland, Glsasgow",25/06/2020,"ONE OF THE FINEST EXAMPLES OF ITS TYPE - THIS IS AN OUTSTANDING ONE BEDROOM FLAT LOCATED IN THE HEART OF THE WEST END. With an open outlook along Airlie Street, this charming one bedroom third (top) floor flat forms part of an elegant, traditional red sandstone tenement building and i...","£185,000",0141 392 0201,https://www.rightmove.co.uk//property-for-sale/property-81321367.html
2 bedroom property for sale,"Minard Road, Glasgow, Lanarkshire, G41",25/06/2020,"Enjoying prime location with the heart of Shawlands, this top floor flat is beautifully presented after undergoing extensive refurbishment throughout. The property is centrally sited, within easy reach of Queens Park and a host of Shawlands amenities. Internally the accommodation comp...","£170,000",0141 392 0101,https://www.rightmove.co.uk//property-for-sale/property-81321226.html
2 bedroom flat for sale,"Dorchester Avenue, Flat 0/1, Kelvindale, Glasgow, G12 0EG",25/06/2020,"HD Video Available. This stunning, two bedroom apartment with private garden is without doubt the finest example of this house type to be made available for sale to date and young professional couples and small families are urged to view quickly to appreciate the superb value for money which this...","£119,000",0141 392 0187,https://www.rightmove.co.uk//property-for-sale/property-71465268.html
2 bedroom flat for sale,"Keal Avenue, Blairdardie",25/06/2020,"Top floor two double bedroom flat which occupies a third floor position within a well maintained building. The well presented accommodation comprises welcoming reception hallway, well proportioned lounge which has double glazed rear and front facing windows, fitted carpet. Modern kitchen with amp...","£65,000",0141 392 0192,https://www.rightmove.co.uk//property-for-sale/property-81321133.html
2 bedroom flat for sale,"Golf Court, Netherlee, Glasgow, G44 3LD",23/06/2020,"HD Video Available. A luxury modern first floor flat with balcony and private parking, and garage situated within an exclusive and convenient cul-de-sac development. This stunning property has been upgraded including modern kitchen, bathroom and en-suite and the accommodation comprise...","£195,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71367864.html
2 bedroom flat for sale,"Holehouse Drive , Knightswood , Glasgow, G13 3AW",25/06/2020,"HD Video Available. Presented in beautiful condition both inside and out, this excellent, two bedroom, lower cottage flat offers bright, well-appointed accommodation and enjoys a peaceful setting in Knightswood. Minutes from Garscadden Rail Station, this well-appointed home is perfect...","£105,000",0141 392 0187,https://www.rightmove.co.uk//property-for-sale/property-71465166.html
3 bedroom semi-detached house for sale,"Lindores Drive, Stepps, G33",25/06/2020,"An immaculate modern semi detached villa nestled within a highly desired residential address. This attractive home has instant appeal with its comfortable living space & complimented by the neutral styling. So, if it's a home thats ready to walk-in & enjoy your looking for then a viewing must be...","£190,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-94016531.html
1 bedroom flat for sale," Mannering Court,  Shawlands, G41",25/06/2020,"An immaculately presented and spacious one bedroom first floor traditional tenement flat benefitting from residents parking, ideally located in Mannering Court, Shawlands. This property is sure to interest first time buyers and internal viewing is essential.","£90,000",0141 392 0338,https://www.rightmove.co.uk//property-for-sale/property-71464641.html
1 bedroom flat for sale,"Cairndow Court, Muirend, Glasgow, G44 3BU",25/06/2020,HD Property Video Available. A rarely available one bedroom ground floor apartment located within a much sought after Southside retirement development. The property is ideally positioned within Muirend to take advantage of a host of local amenities and transport links. The enclosed floor plan and...,"£79,000",0141 392 0182,https://www.rightmove.co.uk//property-for-sale/property-71464533.html
2 bedroom flat for sale,"East Greenlees Gardens, Cambuslang, Glasgow",25/06/2020,This superb top floor flat offers an excellent opportunity for the first time buyer or young professional and has been beautifully upgraded by the current owner to a wonderful standard.,"£89,995",01698 650004,https://www.rightmove.co.uk//property-for-sale/property-81314401.html
3 bedroom semi-detached house for sale,"Berryknowes Drive, Craigton, Glasgow, G52 2DZ",25/06/2020,"HD Property Video Available. A well appointed three bedroom semi detached villa within this popular locale of Cardonald on the Southside of Glasgow. The property is ideally located for access to the M8 motorway network, Clyde Tunnel, Cardonald Train Station and the Queen Elizabeth University Hos...","£159,000",0141 392 0182,https://www.rightmove.co.uk//property-for-sale/property-71464053.html
2 bedroom flat for sale,"Tamshill Street, Maryhill, Glasgow, G20",25/06/2020,"A superb, second floor, luxury two bedroom flat within close proximity to all amenities in Maryhill and the wider West End area. The stylish accommodation eNjoys two sets of French doors and Paris balconies to the front and to the rear along with an en suite facility off the master bed...","£120,000",0141 392 0072,https://www.rightmove.co.uk//property-for-sale/property-81313369.html
2 bedroom apartment for sale,"Wilson Street, Merchant City, Glasgow",25/06/2020,"Recently refurbished and upgraded, this two-bedroom duplex apartment is set within a Merchant City warehouse style building and located in part of the Ingram Square development designed by Elder & Cannon Architects as part of the 1980’s regeneration of the area. It is centrally located...","£167,500",0141 392 0351,https://www.rightmove.co.uk//property-for-sale/property-81313366.html
2 bedroom flat for sale,"Eriboll Place, Glasgow, G22",25/06/2020,SALE BY ONLINE AUCTION 9TH JULY 2020 AT 9.00AM. Solid turnkey investment property with monthly rental income of £433pm / £5200pa with scope for rent rise up to £600pm / £7200pa. The property is fully compliant and comes with lettings management in place if required. Hands off investment opportunity,"£55,000",0141 392 0837,https://www.rightmove.co.uk//property-for-sale/property-68791866.html
1 bedroom flat for sale,"Grandtully Drive, Kelvindale, Glasgow, G12 0DW",25/06/2020,"An attractively-priced, one bedroom apartment which benefits from a main door entrance and access to a shared rear garden. Grandtully Drive enjoys a central position in Kelvindale, around ten minutes cycle from Byres Road. Despite being so handy for West End amenities, this location of...","£69,000",0141 392 0187,https://www.rightmove.co.uk//property-for-sale/property-71463522.html
3 bedroom terraced house for sale,"Colville Drive, Rutherglen, Glasgow, G73 3LX",25/06/2020,"****360 VIRTUAL TOUR AVAILABLE****Keys Estate Agents are delighted to offer to the market the mid terrace villa set within the popular and sought after address of Colville Drive, Rutherglen. The flex...","£119,950",0141 392 0463,https://www.rightmove.co.uk//property-for-sale/property-71463513.html
2 bedroom semi-detached villa for sale,"Maybole Grove, Newton Mearns, Glasgow, G77 5SX",25/06/2020,"HD Video Available. Set within generous gardens that enjoy a fantastic degree of privacy to the rear, this semi detached villa has been comprehensively upgraded and offers a truly ‘turn-key’ move for any potential buyer. The accommodation extends to; entrance vestibule, hallway with staircase le...","£179,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71463510.html
4 bedroom detached house for sale,"Carolside Avenue, Clarkston, Glasgow, G76 7AE",25/06/2020,"A rarely available traditional detached villa which is set within central Clarkston, close to local amenities and public transport links. This imposing villa offers a wealth of accommodation which is split over two main levels with generous room sizes, original features and a flexible layout. ","£450,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71463198.html
4 bedroom detached house for sale,"Greenoakhill Place, Uddingston, Glasgow",25/06/2020,"An excellent sized and beautifully presented modern detached villa which sits within a quiet cul-de-sac and has enclosed private gardens. Built by Bellway Homes circa 2008 this well proportioned family villa offers excellent living space which is bright, airy and finished with a mix of t...","£249,950",01698 650083,https://www.rightmove.co.uk//property-for-sale/property-94009892.html
2 bedroom penthouse for sale,"Howard Street, Glasgow City Centre",25/06/2020,"Please check out the property video tour for this listing or contact the branch for our pre filmed virtual viewing. At Rettie & Co. we are working from home and here to take your enquiries during normal business hours. Spanning over 1450 sq ft, this chic, two-bedroom penthouse apar...","£290,000",0141 392 0351,https://www.rightmove.co.uk//property-for-sale/property-78460489.html
4 bedroom house for sale,"Winton Drive, Cleveden, Glasgow",25/06/2020,AN IMMEDIATELY IMPRESSIVE COACH HOUSE FORMED OVER THREE LEVELS AND CONTAINED WITHIN A HANDSOME BLONDE SANDSTONE VILLA. This rather unique and rarely available coach house is located in the highly desirable Kelvinside area and forms part of an elegant blonde sandstone semi-detached vil...,"£510,000",0141 392 0201,https://www.rightmove.co.uk//property-for-sale/property-81312415.html
3 bedroom flat for sale,"Curling Crescent, Glasgow, Lanarkshire, G44",25/06/2020,"Beautifully presented upper cottage flat within popular residential area. The accommodation extends to a welcoming reception hallway, good sized lounge, modern fitted kitchen, two double bedrooms, single bedroom and attractive bathroom. Further benefits include gas central heating, double ...","£87,500",0141 392 0076,https://www.rightmove.co.uk//property-for-sale/property-94009259.html
3 bedroom flat for sale,"Norwood Park, Bearsden, East Dunbartonshire, G61 2RZ",25/06/2020,"HD Video Available. Occupying one of the finest positions within this desirable, flatted development, an extremely rare, three bedroom, ground floor flat with balcony. Norwood Park is a highly sought after development enjoying a tranquil setting amidst impeccably kept, shared, lawned gardens con...","£230,000",0141 392 0185,https://www.rightmove.co.uk//property-for-sale/property-71462337.html
3 bedroom semi-detached house for sale,"6 Blairtum Drive, Burnside, Glasgow, G73 3RY",25/06/2020,"**3D TOUR AVAILABLE** Set within nicely arranged gardens in the heart of Burnside, a truly outstanding, 5 apartment, semi-detached blonde sandstone villa with a stunning interior and large conservatory to the rear.  EPC -D.","£319,995",0141 392 0215,https://www.rightmove.co.uk//property-for-sale/property-81308920.html
2 bedroom semi-detached house for sale,"67 Farne Drive, Simshill, Glasgow, G44 5DQ",25/06/2020,"**3D TOUR AVAILABLE** An outstanding, 2 bedroom and attic room, semi-detached villa, recently refurbished and in walk-in condition, sitting on a generous sized garden plot within the much sought after Simshill district.  EPC - C. ","£159,995",0141 392 0215,https://www.rightmove.co.uk//property-for-sale/property-81308896.html
2 bedroom semi-detached house for sale,"Priory Drive, Uddingston, Glasgow, G71",25/06/2020,Offered to the market in true turnkey condition this successfully extended semi-detached family home is situated in the quiet and locally admired Kylepark area in Uddingston. The property is in impeccable condition and offers versatile living accommodation over three levels. The home p...,"£215,000",01698 650067,https://www.rightmove.co.uk//property-for-sale/property-81308854.html
4 bedroom town house for sale,"Craigend Circus, Anniesland, Glasgow, G13  2TX",25/06/2020,"A most impressive townhouse, enjoying a lovely open outlook onto a green area in this quiet and appealing development, just off Anniesland Road, close to the many amenities of Glasgow's West End. ...","£310,000",0141 392 0899,https://www.rightmove.co.uk//property-for-sale/property-71461872.html
5 bedroom detached house for sale,"Drumglass Steadings Nr Kilsyth, G65",25/06/2020,"Property Ref: 6689Set in the semi- rural, picturesque location of Drumglass Steadings, is this rare opportunity to acquire this newly built, individual home. Finished to the highest standard throughout, this property offers a semi-rural lifestyle whilst being within minutes from motorway and rail...","£485,000",020 3858 2623,https://www.rightmove.co.uk//property-for-sale/property-81308260.html
3 bedroom detached house for sale,"Brookfield Avenue, Glasgow",25/06/2020," Well-presented 3 bedroom detached home within easy commute to Glasgow city centre. 3 generous bedrooms with master en-suite. Sunny mature garden with immediate entry opportunity. ***Home Report Value £195,000*** Shona Gillon at RE/MAX is delighted to bring to the market this spacio...","£185,000",01698 650098,https://www.rightmove.co.uk//property-for-sale/property-81308095.html
4 bedroom detached house for sale,"Eagle Avenue, Newton Mearns, Glasgow, G77 6WN",12/06/2020,"**Virtual Viewing via HD VIDEO** Built by Robertson Homes, this impressive modern detached villa is nicely nestled down a private driveway giving excellent privacy and an abundance of parking. The property is conveniently located for transport links and amenities and offers generous proportions ...","£365,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71109516.html
3 bedroom terraced house for sale,"65 Kintore Road, Newlands, G43 2EY",25/06/2020,This impressive terraced home is found in a popular Newlands address offering particularly generous dimensions.,"£305,000",0141 392 0136,https://www.rightmove.co.uk//property-for-sale/property-66812310.html
2 bedroom end of terrace house for sale,"Maukinfauld Court, Tollcross, Glasgow, G32 8EN",25/06/2020,"**VIDEO TOUR** 2 Bedroom End Terrace Villa Within Popular Locale, PVC Double Glazing, Ample Parking, Light Décor And Flooring Throughout, Modern High Gloss White Kitchen, Bathroom With Shower, Gardens to Front And Rear.","£79,995",0141 392 0417,https://www.rightmove.co.uk//property-for-sale/property-94001489.html
1 bedroom flat for sale,"Kirkhill Gardens, Cambuslang, Glasgow, G72 8EZ",25/06/2020,****360 VIRTUAL TOUR AVAILABLE****Keys Estate Agents are delighted to offer to the market this modern lower main door cottage flat. The property has been upgraded by the current owners and presented ...,"£69,950",0141 392 0463,https://www.rightmove.co.uk//property-for-sale/property-71461308.html
1 bedroom flat for sale,"Flat 9, 1 Crown Gardens, Glasgow, G12 9HJ",25/06/2020,"HD Video Available. Well maintained 2nd floor flat with beautiful Victorian gardens. Lounge/dining room, kitchen, shower room, spacious bedroom, restored wood finishes, plenty storage. EER-D","£190,000",0141 392 0251,https://www.rightmove.co.uk//property-for-sale/property-93945887.html
3 bedroom detached house for sale,"Castlemains Crescent, Uddingston, Glasgow",25/06/2020,This property occupies a fantastic position within the ever popular Sunnymead development and offers comfortable family living space with private gardens. Built by Stewart Milne Homes circa 2014 in the style of the “Corrywood” this lovely family home is beautifully decorated throughout a...,"£255,000",01698 650083,https://www.rightmove.co.uk//property-for-sale/property-94003082.html
1 bedroom flat for sale,"Borthwick Street, Glasgow, G33",25/06/2020,"A spacious modern ground floor flat located in a desired residential address within Craigend, Glasgow's East End. The subjects are in great fresh decorative order throughout & boast good size living accommodation all on the level, ideally suited to both 1st time buyer & young couples alike. The r...","£50,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-94002611.html
1 bedroom flat for sale,"Pleasance Way, Shawlands , Glasgow, G43",25/06/2020,"Coronavirus / Covid-19 Viewing Guidelines Detailed Below Quietly tucked away within an immaculately maintained development and presented to market in excellent condition throughout, this immediately impressive one bedroom corner cited modern apartment boasting a recently installed luxury four pi...","£115,000",0141 392 0848,https://www.rightmove.co.uk//property-for-sale/property-94001516.html
2 bedroom flat for sale," 3 Dunphail Drive,  Glasgow , G34",25/06/2020,"Harbor Property are delighted to offer to the market this 2 bedroom top floor flat in the Easterhouse area of Glasgows East End. Built circa 1960, the property is well placed for local amenities as well as within easy reach to more extensive shopping/eateries at Glasgow Fort. Excellent opportunit...","£59,950",0141 392 0371,https://www.rightmove.co.uk//property-for-sale/property-81306826.html
1 bedroom flat for sale," 24 Waverley Street,  Shawlands, G41",25/06/2020,"An extremely spacious and immaculately presented one bedroom traditional flat with the all-important, dining sized kitchen. Situated on the top floor of a traditional tenement within one of Shawlands most sought after streets, viewing is imperative to appreciate the standard of accommodation on o...","£150,000",0141 392 0338,https://www.rightmove.co.uk//property-for-sale/property-71460417.html
3 bedroom terraced house for sale,"Crusader Avenue, Knightswood, GLASGOW",25/06/2020,"* Home Report Available @ * Beautifully Presented, Bright & Spacious Three Bedroom Terrace Home * Modern & Neutral Decor As Well As GCH & DG Throughout * Spacious Lounge With Room For Dining, Modern Fitted Kitchen & Bathroom * Three Gener (cont.)","£157,500",01352 385051,https://www.rightmove.co.uk//property-for-sale/property-94001213.html
3 bedroom terraced house for sale,"Knockburnie Road, Glasgow, G71",25/06/2020,Joanna Daly Properties welcomes to the market this desirable three bedroom property in the desirable area of Bothwell. The property has been finished to a high standard and is very reasonably priced. This is an excellent catchment area for schools and nursery near this property.....,"£109,000",01236 355069,https://www.rightmove.co.uk//property-for-sale/property-93998378.html
3 bedroom semi-detached house for sale,"Muirside Avenue, Kirkintilloch",25/06/2020,Kelvin Valley Properties present to the market this seldom available three bedroom semi-detached villa in sought after Muirside Avenue in Kirkintilloch. These properties seldom come onto the market and are very popular with buyers when they do. This particular ones benefits from backing onto th...,"£134,995",01236 355043,https://www.rightmove.co.uk//property-for-sale/property-69011949.html
3 bedroom semi-detached house for sale,"Mill Rig, East Kilbride, G75 0JT",25/06/2020,"**VIDEO TOUR** 3 Bedroom Split Level Link Semi Detached Villa Within Popular Whitehills Locale, Gas Central Heating, PVC Double Glazing, Good Size Dining Lounge, Modern Breakfasting Kitchen, Downstairs Shower Room With Main Family Bathroom Upstairs, Viewing Advised.","£125,000",0141 392 0417,https://www.rightmove.co.uk//property-for-sale/property-93857207.html
2 bedroom flat for sale,"Brownlie Street, Glasgow, Lanarkshire, G42",25/06/2020,"Set within one of the South-side's most desired locations, 19 Brownlie Street offers a unique opportunity to purchase one of the best designed and beautifully presented flats in the Mount Florida area. The apartment boasts the perfect combination of traditional style and luxury modern featur...","£170,000",0141 392 0071,https://www.rightmove.co.uk//property-for-sale/property-71459226.html
1 bedroom semi-detached house for sale,"Craigflower Road, Glasgow",25/06/2020,"This one bedroom house located in the popular Parkhouse area of Glasgow’s Southside has been fully modernised and upgraded by the current owner to form immaculately presented, well proportioned accommodation within this sought after area with all amenities and transport links available with...","£72,500",0141 392 0192,https://www.rightmove.co.uk//property-for-sale/property-81303691.html
4 bedroom detached house for sale,"Glenmill Road, Darnley, Glasgow, G53 7QL",25/06/2020,"HD Video Available. Impressive larger style four bedroom modern detached villa which is presented in immaculate order with a high specification and contemporary décor throughout. Internally, the accommodation comprises of entrance hallway with staircase to upper level, generous front facing forma...","£260,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71458197.html
4 bedroom detached villa for sale,"Alexandra Street, Kirkintilloch, G66 1HE",25/06/2020,"Traditional detached villa presented in superb condition, having been completely remodelled and upgraded in recent years. Occupying a very central location on one of the town""s premier roads and...","£335,000",0141 392 0900,https://www.rightmove.co.uk//property-for-sale/property-93997706.html
3 bedroom apartment for sale,"Tantallon Road, Shawlands, Glasgow",25/06/2020,"** VIDEO TOUR AVAILABLE ** A spacious, three bedroomed flat second(top) floor flat positioned in the hearts of Shawlands, making it ideally positioned for everything Shawlands is famed for. The building is entered via secure door entry system into a well-kept communal close...","£145,000",0141 392 0010,https://www.rightmove.co.uk//property-for-sale/property-71457021.html
2 bedroom end of terrace house for sale,"Russell Place , Busby , Glasgow, G76 8JN",25/06/2020,"Set within extremely generous corner position gardens, this end terraced villa enjoys fantastic privacy to the rear and open outlook to the front. Internally, the accommodation offers good room sizes and extends to; entrance hallway with staircase leading to upper level, generous lounge with larg...","£140,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71456949.html
5 bedroom detached house for sale,"Picketlaw Road, Carmunnock, Glasgow, G76 9AA",25/06/2020,"HD Video Available. A substantial detached property that has been extensively extended and reconfigured to provide a wealth of accommodation with a flexible 8 apartment layout and impressive room sizes. The property enjoys a great degree of privacy, sitting in a large plot with high h...","£395,000",0141 392 0188,https://www.rightmove.co.uk//property-for-sale/property-71455929.html
2 bedroom flat for sale,"Dundrennan Road, Glasgow, G42 9SL",25/06/2020, Shanta Residential are delighted to bring to the market this beautifully presented top floor flat set within the sought after red sandstone buildings located in popular Battlefield. You are welcomed into the property via the secure entry system and into the well kept close. The lounge is large ...,"£160,000",0141 255 2828,https://www.rightmove.co.uk//property-for-sale/property-93996503.html
4 bedroom semi-detached house for sale,"Barcaldine Avenue, Chryston, Glasgow, G69 9PB",25/06/2020,"An extended semi-detached villa in a really popular development, close to the centre of the village and Chryston High School. The spacious 6 apartment accommodation is very adaptable and could accomm...","£165,000",0141 392 0900,https://www.rightmove.co.uk//property-for-sale/property-93996350.html
2 bedroom flat for sale,"Craig Road, Glasgow",25/06/2020," Shanta Residential are delighted to bring to the market this two bedroom traditional flat in Cathcart, Glasgow. The property is accessed through a well kept close. Inside you are welcomed into the property hallway leading you into the bright, spacious lounge with large windows allowing the natu...","£90,000",0141 255 2828,https://www.rightmove.co.uk//property-for-sale/property-93996167.html
